[[[[-0.5377645439616368]], [[-0.9795979412643032]], [[-0.6961046462462683]], [[-0.8698737211006264]], [[-0.5568218409492243]], [[-0.5692985572992701]], [[-0.5598178390052833]], [[-0.45378102245201424]], [[-0.7872893516185826]], [[-0.5890056100606975]]]]
[[[[-0.5928494950052179]], [[-0.9912380372356648]], [[-0.8991626921032521]], [[-0.3005648370757743]], [[0.9315319420720671]], [[-0.039976072672991636]], [[-0.747619261235762]], [[-0.9034080810391407]], [[0.24959778849997205]], [[-0.03757324526980255]]]]
[[[[-0.30797948492021154]], [[0.5901884293470618]], [[0.31396682971601586]], [[0.6504174883155218]], [[-0.28880474685498037]], [[0.8326196749113046]], [[0.1983053045254528]], [[0.8140783655539041]], [[0.07599790787419303]], [[-0.3515416921364114]]]]
[[[[-0.38904031813528994]], [[-0.41279927158648944]], [[0.4458809327218072]], [[-0.1863025799806075]], [[-0.8109424962166067]], [[-0.24259616530566763]], [[-0.47837733847860564]], [[0.847175657223717]], [[-0.24912360709404036]], [[-0.9114119276101844]]]]
[[[[0.09674482272577523]], [[0.691742335208821]], [[-0.09545234097458954]], [[0.7736928844860493]], [[0.26101556612512056]], [[0.41923418705707305]], [[-0.5654476116077993]], [[-0.2253486447425912]], [[0.8218016545537572]], [[0.9654770014539957]]]]
[[[[0.7664265752104853]], [[0.7202717017929996]], [[-0.5909571129503488]], [[-0.7070084620159736]], [[-0.78125153288815]], [[-0.026920492146795594]], [[0.8257949996616314]], [[0.3909002709629481]], [[0.08223967413574673]], [[-0.31487185974519205]]]]
[[[[-0.1332087637221131]], [[-0.23541217238336487]], [[-0.7137395123552377]], [[-0.3905544960459688]], [[0.13256300353521788]], [[-0.49244532244552164]], [[-0.864514095235702]], [[-0.731493818250063]], [[0.4748939375035597]], [[-0.06898253498887263]]]]
[[[[0.887365659126296]], [[0.39403340116126895]], [[-0.7212708649570541]], [[0.7827694253169493]], [[0.8393295604062772]], [[0.27045782892254033]], [[0.7708591943607588]], [[0.8020632712404123]], [[-0.02348059196819552]], [[-0.015165560666450917]]]]
[[[[-0.4624289787163687]], [[0.7611419279800551]], [[-0.639463482699731]], [[0.041998461855440095]], [[-0.6015726949548419]], [[-0.49180280299786183]], [[0.4141329228080901]], [[0.6749919277530854]], [[0.7877622689150445]], [[0.8357806403410022]]]]
[[[[0.39932082117509293]], [[-0.04430208636643518]], [[0.5312843352582057]], [[-0.055452168574020355]], [[-0.4279801274197277]], [[0.9533937457329764]], [[-0.9152583374188397]], [[-0.46540539586018714]], [[0.3033734472213998]], [[-0.9467889933303946]]]]
[[[[0.21691806171564454]], [[-0.9635327394821918]], [[-0.7006441813380015]], [[-0.6488787050747928]], [[-0.1559785228456132]], [[0.9677392545340426]], [[-0.01082930408906968]], [[-0.30734946952924114]], [[-0.4020102146364608]], [[0.6642644616730802]]]]
[[[[-0.7558335766289828]], [[0.8260625906738637]], [[-0.7632112033075518]], [[0.711154535896322]], [[0.9586327882434118]], [[0.7650564794123655]], [[-0.5648285859728208]], [[-0.6277064015306033]], [[-0.5417428296583491]], [[-0.7560803327108807]]]]
[[[[0.8971954915064939]], [[-0.24071921867071322]], [[0.9165784781969102]], [[-0.4769627525921525]], [[0.3095494289920371]], [[-0.14425843292422025]], [[0.6713094333196352]], [[-0.9735073562653092]], [[-0.3152949375754075]], [[0.995911041510263]]]]
[[[[0.3760706401255891]], [[-0.6973231027912994]], [[-0.06331818613044704]], [[0.6483858142664749]], [[-0.2574615183651663]], [[0.5063044036538258]], [[-0.44918655479544456]], [[-0.9106368484769447]], [[0.6684113853407876]], [[-0.24257228690241628]]]]
[[[[0.8136274308412601]], [[0.6642049541338513]], [[-0.7313560543687665]], [[0.7263144993802746]], [[0.2136291736337117]], [[-0.1564441685480924]], [[0.19296086609062768]], [[0.5270489461012697]], [[0.09907642749004819]], [[-0.6334460560520934]]]]
[[[[0.598974443717543]], [[-0.20518553601227296]], [[-0.41593605280860046]], [[0.6060013135962936]], [[-0.34437888656400717]], [[-0.2861706758677971]], [[0.5393074501528858]], [[0.028610613228661874]], [[0.18424226463230253]], [[-0.8882341825727871]]]]
[[[[-0.7567409852846698]], [[0.7795823702254627]], [[-0.757418880769644]], [[-0.1727069423170382]], [[0.6808816428118936]], [[-0.8704669187167335]], [[-0.06507220066739294]], [[-0.3017365391371838]], [[0.07790527013032111]], [[0.6913301789200847]]]]
[[[[-0.6831147331594569]], [[0.6704003508871765]], [[0.5976945518452466]], [[0.45924298941802966]], [[0.7961617745913365]], [[0.5556475460261505]], [[-0.280330169154116]], [[-0.4597662037194783]], [[-0.018381892392107968]], [[0.17603445471919588]]]]
[[[[-0.2894811707156295]], [[0.9703360041133926]], [[0.3181699717205857]], [[-0.2392794750228564]], [[-0.11860267108998124]], [[0.16399557778839546]], [[0.48936243057834017]], [[0.8349833460660661]], [[0.8739549233778718]], [[-0.09826556251327001]]]]
[[[[-0.3807426530056006]], [[-0.9694347744440546]], [[-0.8144854217026913]], [[-0.7408597121417513]], [[-0.7769862066919422]], [[-0.8737462667863609]], [[-0.5922805295627034]], [[-0.856199611917142]], [[0.8132987816192616]], [[0.28021717059368556]]]]
