[[[[0.8023179828089029]], [[0.7375934692302328]], [[-0.5113139765413754]], [[-0.7134251638629663]], [[0.7894493594660081]], [[0.10091778450556332]], [[-0.595366678117933]], [[0.9298774267046062]], [[-0.7290670775287882]], [[-0.8990561456602604]]]]
[[[[-0.9568251924092084]], [[-0.2529034369608216]], [[0.10978890706835043]], [[-0.5606786044066316]], [[-0.19220387008120943]], [[-0.4260878078114885]], [[0.3215943486689381]], [[0.6598808281493052]], [[-0.5466844808187317]], [[-0.6005453367151499]]]]
[[[[-0.13827968236346777]], [[0.5940266177302465]], [[-0.3894037611067427]], [[0.4761514445167514]], [[0.07288309863953124]], [[0.7536204959909558]], [[0.84753557154129]], [[0.9607531904585744]], [[-0.7531073431983468]], [[0.9542070673574021]]]]
[[[[0.7767251416316534]], [[-0.727265625015695]], [[-0.06406976708295131]], [[0.9504803061832938]], [[-0.0608065996068925]], [[-0.6032823971386052]], [[0.38484666214842944]], [[0.6515419838865597]], [[0.2794241075109758]], [[0.8709483229172017]]]]
[[[[0.7149934463830854]], [[0.22524817691580523]], [[0.6877401876175258]], [[-0.9218948137451555]], [[0.575913970213823]], [[-0.9382824249569441]], [[-0.9332698544292508]], [[0.5954210560948718]], [[-0.5551693777226467]], [[-0.8850066281755098]]]]
[[[[0.86794734199262]], [[-0.04227050981544922]], [[-0.4059193158724923]], [[0.34948546647962964]], [[-0.9647215424763036]], [[0.12688262119312]], [[-0.19405497872067823]], [[-0.36058229489204874]], [[0.7719134454351413]], [[0.625553785644807]]]]
[[[[0.16874047037233098]], [[0.46295078088931674]], [[0.6948891453358697]], [[-0.8069740451597425]], [[0.10593267599878464]], [[0.6259767252247985]], [[0.4463078045778197]], [[-0.049092334976886365]], [[-0.38300437534340226]], [[0.25478260803274155]]]]
[[[[-0.017945125158051134]], [[0.19132807873543545]], [[-0.24414725366348256]], [[-0.2914956345618933]], [[-0.5071976813712991]], [[-0.9323827863168894]], [[-0.41165834224943443]], [[0.3322390742380412]], [[-0.631240810537465]], [[0.8676095693954022]]]]
[[[[0.5873258774728038]], [[-0.8065775373628323]], [[0.8527177799976173]], [[-0.4323306042029913]], [[0.6911639355475208]], [[0.5608403542910931]], [[-0.3858169888276617]], [[-0.9607514561281818]], [[-0.8636337664305285]], [[0.02527290069714261]]]]
[[[[-0.18140292527056823]], [[-0.29200876117626406]], [[0.9889335663948742]], [[-0.1228103113424226]], [[-0.6974973992075366]], [[0.2824953624353974]], [[0.40499996653054215]], [[-0.31526746623895363]], [[-0.7992500914030978]], [[0.027207152110958033]]]]
[[[[-0.49285969422461573]], [[0.6086127565145041]], [[-0.8242712191996782]], [[0.5265758375284462]], [[0.6700703201802913]], [[-0.09727341610942819]], [[0.9454195092558393]], [[-0.8661270174753872]], [[0.6823992786676949]], [[0.6221671828379998]]]]
[[[[-0.7124848252428728]], [[-0.521945272875165]], [[-0.8441555306505832]], [[0.8583825548052455]], [[0.3242202055818719]], [[-0.5975034636512462]], [[0.4015015335912626]], [[-0.4126779308299535]], [[0.15098975451028562]], [[0.5107951868514156]]]]
[[[[0.10814394579513809]], [[-0.0497413086930818]], [[-0.4912874240977687]], [[0.7217788597829569]], [[0.16451726998125205]], [[-0.8582274288961116]], [[-0.3099048415619199]], [[-0.816411928067377]], [[0.2187334016635578]], [[-0.8144345651332932]]]]
[[[[0.8043302154284953]], [[-0.6264523656933829]], [[0.24850354594921442]], [[0.04496673099318249]], [[0.4001250570409647]], [[-0.8302784322076189]], [[-0.9602934572389981]], [[0.6678877339744016]], [[-0.49063279115884373]], [[0.27173876263075414]]]]
[[[[0.007908855693900207]], [[0.5714976448321702]], [[-0.3729879905579745]], [[0.5239016859788823]], [[0.7302713197121182]], [[-0.17888400482006706]], [[-0.8153815115741432]], [[-0.4004191867031135]], [[0.6727411701036179]], [[-0.07455060585126505]]]]
[[[[0.8051721092594062]], [[-0.25280915575310337]], [[-0.11668433673821532]], [[0.027493612849175175]], [[-0.40602946868957845]], [[-0.720283967860792]], [[0.04664295529646334]], [[-0.34315943363344004]], [[0.20133549347579116]], [[0.04357862029005233]]]]
[[[[0.12946548028416305]], [[-0.39451722763290653]], [[-0.640346800469269]], [[0.3155294707496905]], [[0.2331995238934368]], [[-0.9138258691379479]], [[0.5602568339159806]], [[0.24570013915668487]], [[0.9547316323347355]], [[-0.12503603620543968]]]]
[[[[0.8259406637467248]], [[0.09289163429539915]], [[0.2693481551364336]], [[0.7164717305181401]], [[-0.2387716910426767]], [[-0.6753930523363567]], [[-0.02334290887828394]], [[0.3194515394972537]], [[-0.28633701461131467]], [[-0.9333771029321243]]]]
[[[[-0.14968522639846182]], [[-0.0806532532471047]], [[-0.7571773132268047]], [[0.22611905651144237]], [[-0.7187255520690974]], [[0.2741219859038131]], [[-0.13313459008766726]], [[-0.5668618657826485]], [[-0.7651845648476476]], [[0.5734355869851695]]]]
[[[[-0.612652149124512]], [[-0.33551195050122296]], [[0.29543567495620615]], [[-0.9938317532920509]], [[-0.6966844648940194]], [[0.39024655004646225]], [[-0.1852235575920116]], [[-0.8920980931217928]], [[-0.1530955244608463]], [[-0.9819771496011986]]]]
[[[[0.9996756031405893]], [[0.9491219456368896]], [[0.6694648765227429]], [[-0.6095958134072723]], [[0.3046570632761745]], [[0.4388462057145466]], [[-0.15842864967998405]], [[0.7161013538520298]], [[-0.8559429766691282]], [[0.923091269083596]]]]
[[[[0.3912923377229369]], [[0.4246092968195234]], [[0.15042592552024692]], [[0.19789911498105184]], [[-0.22660142532054262]], [[-0.25216094130262046]], [[0.4394570323131828]], [[-0.5274349025808189]], [[0.9181944346977311]], [[0.5942307588324991]]]]
[[[[0.11758762629435782]], [[0.012499136880087747]], [[0.20983571902723352]], [[0.6178309708276584]], [[-0.18126221589742597]], [[0.22675334100920042]], [[-0.17598009904302825]], [[0.8309601374016746]], [[0.44947060820932827]], [[-0.3762371375567002]]]]
[[[[-0.13907513084626366]], [[-0.78828406834877]], [[-0.35925304640553724]], [[-0.5767297496660795]], [[0.9748175302480457]], [[0.9789469441247558]], [[-0.4850001795251482]], [[0.21530502740584723]], [[0.26157580670396463]], [[0.02888079534616983]]]]
[[[[0.15761674679160653]], [[0.6938839455023529]], [[0.22034029559415447]], [[-0.3833982144299488]], [[-0.5119900958151653]], [[-0.735726591700028]], [[-0.5170274196357201]], [[-0.7631256790316825]], [[0.9742190095448868]], [[0.22202295677105854]]]]
[[[[0.47203198406953084]], [[0.7339451052263055]], [[-0.2431656468833936]], [[0.5478766607831302]], [[0.15031676496068158]], [[0.35891084013201247]], [[0.6981363950066575]], [[-0.8767869941300184]], [[-0.6896877992942216]], [[-0.6298544414244835]]]]
[[[[0.8000132262273731]], [[0.28519391469920174]], [[0.08854877566559671]], [[-0.2295878552097499]], [[-0.724158548868014]], [[-0.9004040317444053]], [[0.17909609981152408]], [[-0.3076939079507395]], [[0.8453876289330235]], [[-0.9508304334672686]]]]
[[[[0.6495545167909405]], [[-0.8580374814133935]], [[0.04404782145601449]], [[0.518853042937989]], [[0.9862832713347747]], [[-0.7163875677220051]], [[0.6883941823885114]], [[-0.8678212484861849]], [[0.3305005324574517]], [[0.5487273544520557]]]]
[[[[0.17897013435684994]], [[-0.5496714224878119]], [[0.438058061362522]], [[-0.3713840742231833]], [[-0.6563151727153087]], [[-0.9792679167633145]], [[0.03885488564382844]], [[-0.7779937224894857]], [[0.5019596145786707]], [[0.20778479075946654]]]]
[[[[-0.15021899122971472]], [[0.9249279079990358]], [[-0.04680215878584204]], [[0.47152501470449826]], [[0.08337402200001898]], [[0.02953995299506751]], [[-0.3637665487930457]], [[-0.3408871374174627]], [[-0.4629548096858207]], [[0.05781646285255104]]]]
[[[[0.0077810080088702716]], [[0.8319112823420618]], [[0.6241523892976868]], [[0.49505016538715885]], [[0.7594245031373739]], [[-0.5146270443177319]], [[0.17448378677275045]], [[0.165381852927448]], [[-0.836390750330595]], [[-0.18948755809008855]]]]
[[[[0.7604003587545507]], [[0.16116362298217668]], [[-0.25318039337761755]], [[0.6410966192104783]], [[-0.25046649298114754]], [[0.330222905649312]], [[-0.5148463684842524]], [[-0.07231783840704464]], [[0.5604503097733959]], [[-0.6628738225431916]]]]
[[[[0.19720439102085074]], [[0.9714432170384006]], [[-0.9146017625496696]], [[0.48381754330073345]], [[0.1603423432124278]], [[0.0330908780285506]], [[0.9063166834677718]], [[-0.3057296957202855]], [[0.1860573090428781]], [[0.6703263071792982]]]]
[[[[0.829505826966793]], [[-0.996934768611939]], [[-0.07412268907976416]], [[0.22919335833276655]], [[0.14831531988628632]], [[0.5313114045769303]], [[0.009620211356471842]], [[0.5510840128732291]], [[-0.7723094456873174]], [[-0.23188980861581165]]]]
[[[[-0.9640618442704514]], [[0.8139732977452985]], [[0.5220501459455777]], [[-0.1569383295058131]], [[0.3582531497746113]], [[0.9267092923119489]], [[0.7784701610090676]], [[-0.0073657447685282484]], [[0.45130967980095815]], [[0.45385078024949377]]]]
[[[[-0.7728004302037368]], [[-0.31583611727990735]], [[0.553696904637428]], [[0.5338690613064354]], [[0.2677962942466561]], [[0.7189132208420763]], [[-0.25594416426393063]], [[0.0907744519372835]], [[0.5057776495594313]], [[-0.4639481036698683]]]]
[[[[0.11484528482680356]], [[-0.21729195650886535]], [[0.924457668816516]], [[0.9124364267163103]], [[-0.15581591691225083]], [[-0.5445704929101844]], [[-0.8305586628434996]], [[-0.028018004276555875]], [[-0.9738414184641517]], [[0.01282859145456583]]]]
[[[[0.1825661837073893]], [[-0.4243030262098326]], [[-0.3009074032063832]], [[-0.644564904772736]], [[0.6454709291344638]], [[0.43468142178352664]], [[-0.7015643742028463]], [[-0.0016202420556210573]], [[-0.38859483411633167]], [[0.05547742676597256]]]]
[[[[0.8054290212997941]], [[-0.1433948944140233]], [[0.9778896424969992]], [[0.8663885888259786]], [[0.7006227737029467]], [[0.30948054459223595]], [[0.48328271853458493]], [[0.8362258924891068]], [[0.4101038118452618]], [[-0.011820651558072548]]]]
[[[[0.08272657661441607]], [[0.4910058108559008]], [[0.0963117441146506]], [[0.5740735374298676]], [[0.22792861228916017]], [[0.9555226690515448]], [[0.9974153776978487]], [[0.8564334670699054]], [[-0.34805093357246064]], [[0.050522244106540715]]]]
[[[[-0.10249650536128163]], [[0.7940359259610721]], [[0.761796472595746]], [[0.5001696838407113]], [[0.9621696588433111]], [[-0.8585545428019623]], [[-0.05936419158484307]], [[-0.5199304509835982]], [[-0.6786939256972173]], [[-0.6882974122301948]]]]
[[[[-0.35442178559877324]], [[0.47701228485457214]], [[-0.27229001629644833]], [[0.6080113014620789]], [[0.4695074979704905]], [[0.23767539716034758]], [[0.4118457666539215]], [[0.18902138003175484]], [[-0.9029332614073458]], [[-0.786768733703985]]]]
[[[[-0.7184645703423809]], [[0.5010998085271754]], [[0.8492136671221897]], [[0.15140453594733772]], [[-0.030895442809845353]], [[-0.7078904480694865]], [[-0.8690908386442393]], [[-0.9505973980068576]], [[-0.3350914482961911]], [[-0.4706079999125541]]]]
[[[[-0.8736419134214974]], [[0.4826200960796645]], [[-0.48593148095564387]], [[-0.4984078460864989]], [[0.6656872652249872]], [[0.7832241373513478]], [[-0.8031124205991262]], [[0.1723381305501106]], [[0.4302151762249733]], [[0.5402416181001284]]]]
