[[[[-0.7792216280776931]], [[-0.32230198660889897]], [[0.6766562613653766]], [[0.05166058657804262]], [[-0.2171747407668041]], [[0.44798452171301606]], [[-0.9521142700915537]], [[-0.13479574621082557]], [[-0.43610366246116405]], [[0.33774313957687085]]]]
[[[[-0.6466684952938642]], [[-0.3364788532588354]], [[-0.6525522359415086]], [[0.5204627788675595]], [[0.8921286906758441]], [[0.20075559323515302]], [[-0.9317643068967754]], [[-0.44356644848405513]], [[-0.8377328530962851]], [[-0.10543373131403144]]]]
[[[[-0.6584197599179826]], [[-0.059041693145064356]], [[0.9137808284448043]], [[0.0957003037587667]], [[0.37765156052507254]], [[-0.26308636518077155]], [[0.6695486401304973]], [[-0.02128646537830914]], [[0.18825846679384806]], [[0.2888804034606507]]]]
[[[[0.46614682342510805]], [[0.7883552433848309]], [[0.6328332917940367]], [[-0.1265439584440955]], [[-0.457685520932839]], [[0.8854109810562532]], [[-0.6221294552306678]], [[0.5575453672445458]], [[-0.830168447708006]], [[-0.19827699639868368]]]]
[[[[-0.07508871452890808]], [[0.05759190044602924]], [[0.6616868011553034]], [[0.6472193294372883]], [[-0.1040657005090504]], [[-0.021244953981098158]], [[-0.31767668400484195]], [[-0.21116503147908583]], [[-0.5997099097449257]], [[0.6789250189816094]]]]
[[[[0.9821503657139636]], [[0.8890287058554269]], [[0.6692805503597832]], [[0.6374155682312435]], [[0.2808152601369942]], [[0.5595497415383808]], [[0.3987919032975016]], [[-0.9626144016125993]], [[0.8302996356110646]], [[0.5149188445524684]]]]
[[[[0.6254423011938093]], [[-0.5828040972770048]], [[-0.33962438128168326]], [[-0.3904451744101156]], [[-0.5663006070090242]], [[-0.5458326075124722]], [[-0.5837827896116543]], [[-0.009780686976969877]], [[0.345176893677934]], [[-0.47428658531254064]]]]
[[[[0.03550380200669223]], [[0.8791289192353755]], [[0.04496239577415162]], [[-0.19000457839496887]], [[0.5809517670620032]], [[0.15043602361262898]], [[-0.6872593641111768]], [[-0.7987101559406988]], [[0.5257103716281579]], [[0.007579455628203169]]]]
[[[[0.5196852685613997]], [[-0.05564198646022711]], [[-0.9367888305149574]], [[-0.5818178973479302]], [[-0.42393999600291776]], [[0.4784531186888459]], [[-0.8066639917803162]], [[0.3133506805403976]], [[-0.11660318328915897]], [[0.7733635336650251]]]]
[[[[-0.1518451212524139]], [[0.3096923728251546]], [[-0.8480208145958941]], [[-0.0006448605928108808]], [[0.28195358035742735]], [[-0.48522715559247276]], [[-0.7968724349387404]], [[-0.6516310668867189]], [[0.32898941428509]], [[0.48033569224180006]]]]
[[[[0.38672779661314616]], [[0.7227197907786034]], [[-0.3923603921256109]], [[-0.839801444903401]], [[-0.683649108342105]], [[0.8148084949142262]], [[0.048398794360299036]], [[0.53979877107402]], [[0.5435369070882583]], [[-0.5113465724873771]]]]
[[[[-0.40004991340306284]], [[-0.5337112844949556]], [[0.607874075290951]], [[0.7069385061007472]], [[0.9488814212777581]], [[0.26613155366750285]], [[-0.23792208170900997]], [[0.4484826400530906]], [[0.6915779324563427]], [[-0.5023754539124288]]]]
[[[[-0.18443209930004012]], [[0.6446828353358822]], [[-0.8852764905552062]], [[-0.04627272782483227]], [[0.5638818983402136]], [[-0.7858998640274231]], [[0.9794086552130603]], [[0.3782717128903972]], [[-0.060528017932958145]], [[0.4179060333560842]]]]
[[[[-0.18666177278241536]], [[0.4660533902814892]], [[-0.9895155268427189]], [[-0.5761399453466196]], [[-0.0029019443919442445]], [[0.21246577164011038]], [[0.422986879121086]], [[-0.2695091625607109]], [[-0.5835070765194996]], [[-0.13944622534085127]]]]
[[[[-0.1441891220607665]], [[0.5533439618971618]], [[-0.16643254056110734]], [[-0.6790319330070964]], [[0.023239546656272037]], [[0.7351856288256982]], [[-0.2631286396513368]], [[0.5373099445600975]], [[0.005196151798027682]], [[-0.5712913963678541]]]]
[[[[0.7693904665438944]], [[-0.3681812296835214]], [[0.4283665162811523]], [[-0.6501935732758419]], [[-0.9195730904918933]], [[-0.130129173244399]], [[0.9136613457616538]], [[-0.9389922100855363]], [[0.49931672825754925]], [[0.04253150615047008]]]]
[[[[-0.5456056254131392]], [[-0.6339751020173128]], [[0.45696318324512597]], [[-0.25501003163188685]], [[0.47634089552722503]], [[-0.16126987484959598]], [[0.16907186401507834]], [[-0.9163528607851594]], [[0.22513499523319958]], [[0.6564148491888415]]]]
[[[[-0.36941623750806296]], [[0.2133395168224097]], [[-0.29222437454681827]], [[0.9753109272401843]], [[-0.7226831815818762]], [[0.16273142673093788]], [[-0.4484305235206567]], [[-0.5258198784418078]], [[-0.9878387279125209]], [[0.39251406824498836]]]]
[[[[-0.2958836609240614]], [[-0.3863370219094564]], [[-0.37142933630833297]], [[-0.293748181619482]], [[-0.823224316564712]], [[-0.4827299429040677]], [[-0.41230453033544756]], [[0.6504838993771038]], [[0.8483779529976625]], [[-0.6918643378272431]]]]
[[[[-0.8825360663566602]], [[-0.9585532589266526]], [[-0.26465958647686505]], [[-0.6670454236430909]], [[0.26855078247172104]], [[-0.0969221000128957]], [[0.23374956557830906]], [[0.6079798037151798]], [[-0.6364657198519599]], [[0.9174866166628779]]]]
[[[[0.31003438004251205]], [[0.5793209235099137]], [[-0.9977791996817964]], [[-0.32817745110154206]], [[0.6535032808040764]], [[0.9239532828115136]], [[-0.18547573457259348]], [[0.5826107625179817]], [[-0.005133061854962762]], [[-0.4503766292333369]]]]
[[[[-0.12198356113969688]], [[-0.9346935388219964]], [[0.48779974932129755]], [[-0.9621687693031453]], [[0.9963126044179957]], [[0.4600074758338726]], [[0.14553686569748425]], [[0.7746216650611037]], [[-0.8490503259971012]], [[0.8619536628079445]]]]
[[[[0.8085325424344949]], [[0.5514970257012233]], [[0.3841155791817672]], [[0.1392122762911776]], [[0.12378521238165541]], [[0.9156410903348153]], [[0.40702826787871293]], [[0.07006529286151775]], [[0.2776560975495388]], [[-0.12090943837645174]]]]
[[[[-0.033537600588654515]], [[-0.5615936167320856]], [[-0.6035252051299174]], [[0.5879198485423711]], [[0.8740106124656939]], [[0.34265171432404085]], [[-0.3136207061089191]], [[0.4962677446420267]], [[0.4893827088457354]], [[-0.4386413655623864]]]]
[[[[0.6936822168877823]], [[-0.29968455547505113]], [[-0.7912250487588304]], [[0.5001254342812465]], [[0.33520557981790544]], [[0.8615858022890697]], [[0.682944808616551]], [[0.4162983764394945]], [[0.04461220915233599]], [[0.7777795837944339]]]]
[[[[0.36433533921890704]], [[-0.8678317373005915]], [[0.36421353759397257]], [[-0.07823366976669055]], [[-0.24125719020896286]], [[0.023864420287541765]], [[0.6852220989044893]], [[0.20619319516246315]], [[-0.5001592982938816]], [[-0.5521213498090998]]]]
[[[[0.45353078923007106]], [[0.7210495675748945]], [[-0.9961169098586424]], [[0.18256281597233248]], [[-0.28289707677877507]], [[0.42377526676706867]], [[0.3953509231046206]], [[-0.10129779270050787]], [[-0.6198073571692762]], [[-0.4994382632746115]]]]
[[[[0.24434500103395185]], [[0.666190155285826]], [[0.3401966550945539]], [[-0.9520298882018166]], [[0.33583146892207827]], [[-0.15488801769959992]], [[0.48698847339735307]], [[-0.4165884629581489]], [[-0.39439056657755756]], [[0.959796759130646]]]]
[[[[0.5209109112967898]], [[0.26435671085408874]], [[-0.16712708348393646]], [[0.11515702500894864]], [[-0.7137836677958349]], [[-0.2526508728603343]], [[0.34595037038933096]], [[0.2654765936653509]], [[0.09944292632037488]], [[-0.3412167097232013]]]]
[[[[-0.7252436499089618]], [[-0.48713271239020917]], [[0.8649692712322685]], [[-0.14115603450748404]], [[0.3663848863241086]], [[0.24712714401085534]], [[-0.3940986333242502]], [[-0.3291392265840285]], [[-0.1081907369285664]], [[-0.06294834355462986]]]]
[[[[-0.8388406114636315]], [[0.0873818951871217]], [[0.3712706933794172]], [[0.9464253817090074]], [[-0.485259754568409]], [[-0.13657995887265417]], [[0.7338011597338945]], [[-0.061107750062105115]], [[0.41672292158833724]], [[-0.7818562997420271]]]]
[[[[-0.41898867237669757]], [[-0.5732688356989692]], [[-0.5152544175937364]], [[-0.5679742915406472]], [[0.4277908104695156]], [[0.7544490681144727]], [[-0.19961916959240011]], [[-0.30258528827543185]], [[0.153831554992246]], [[-0.7710602052431692]]]]
[[[[-0.19463802718330503]], [[0.2606427413645369]], [[-0.4554092562749019]], [[0.5546158180090213]], [[0.8023153053119376]], [[-0.43754375776035004]], [[-0.7541535661489966]], [[0.8031394458305889]], [[0.8879409799811624]], [[0.1398291430831704]]]]
[[[[0.09071670446182489]], [[0.13852610920210617]], [[0.0726861818964124]], [[-0.9350168566180759]], [[0.00349536872428291]], [[-0.6617828263497336]], [[-0.2538917902140656]], [[-0.6713572772309377]], [[-0.03566667546102642]], [[0.9223075533200005]]]]
[[[[-0.7203896854267762]], [[0.08265567931273732]], [[-0.9019941657155481]], [[0.32854141423182526]], [[-0.33196050763525786]], [[0.06722768538972002]], [[-0.6712285524988566]], [[-0.9610405988900907]], [[0.39245127987009276]], [[0.1353940589539513]]]]
[[[[-0.9960086259176515]], [[-0.6872014103596336]], [[-0.08856943370647308]], [[-0.19037365237552173]], [[-0.14776593261954996]], [[0.8160145675120223]], [[-0.956594781744248]], [[-0.3752518127102409]], [[-0.6695998425967062]], [[0.6163628257224714]]]]
[[[[0.2076658748067075]], [[0.5705395129430215]], [[-0.6813648951643321]], [[0.7619385119525208]], [[-0.9870369360391591]], [[-0.27809186718062495]], [[0.670702936433633]], [[0.8113949493120627]], [[0.11435481409000703]], [[0.37071866166248313]]]]
[[[[-0.9579772495689807]], [[0.8806926389352152]], [[-0.9982652746992242]], [[-0.48922207915137106]], [[0.7993870584655618]], [[0.3195321262387558]], [[-0.19408480583525667]], [[0.6449601146487793]], [[-0.9537721121697547]], [[0.7493612826964839]]]]
[[[[0.13410197383822964]], [[-0.9280151081210308]], [[-0.42100738912097335]], [[0.3707218137456585]], [[0.6168261838185507]], [[-0.9544907456225251]], [[0.6664804175578847]], [[0.012281156403646465]], [[0.6422423259249987]], [[-0.6709134873781961]]]]
[[[[-0.19310678749716326]], [[-0.1874438702225243]], [[-0.10114354988844232]], [[0.5842457471912486]], [[-0.21858913854311401]], [[-0.0033741872064250167]], [[-0.7467947883766317]], [[0.9989001323441786]], [[0.4988999087829684]], [[0.4406419938575148]]]]
[[[[0.17578334238431448]], [[-0.8680332703022751]], [[-0.7048739743486498]], [[0.8753552640906554]], [[0.5216704560124164]], [[0.8118666383944699]], [[-0.3398586456946546]], [[-0.304995164657585]], [[0.9956012224258661]], [[0.8927830636174354]]]]
[[[[0.015308101584423861]], [[-0.46412102494748453]], [[0.6341926505832303]], [[0.26014997362400494]], [[-0.1995025740400984]], [[0.01948839519253931]], [[0.5010043160957758]], [[-0.23136016070985743]], [[0.5187135402986203]], [[-0.26633789557268317]]]]
[[[[-0.4254066407254802]], [[-0.1425706012701229]], [[-0.27418873342570516]], [[0.4548548847440175]], [[0.8526278616860927]], [[0.5506308713086916]], [[-0.3501848941658072]], [[-0.9773719943745944]], [[-0.21886433172827724]], [[-0.8337975545952885]]]]
[[[[-0.048536895703145344]], [[0.2742874606863648]], [[-0.8276146168527214]], [[0.6069923090167286]], [[0.33457671828242574]], [[0.369376637036507]], [[-0.4932383268977589]], [[0.2968909096391823]], [[-0.5599235991961273]], [[0.5119675106183161]]]]
[[[[0.7524518320789626]], [[0.687475704809275]], [[0.9047193336085271]], [[-0.06093401570284329]], [[0.7277624916629677]], [[-0.6838861781647791]], [[-0.23473817961741372]], [[0.6361988917822718]], [[-0.21236758226656471]], [[-0.5893955855916466]]]]
[[[[-0.0544828238157562]], [[-0.8164478230708183]], [[0.578484150352327]], [[-0.015381448167629097]], [[-0.2084575090827212]], [[-0.06088283006492956]], [[-0.7192191817571949]], [[0.13355510046357155]], [[-0.7573513888914454]], [[-0.2085609103314603]]]]
[[[[0.667767616648931]], [[-0.7599347462680635]], [[-0.43658944654370346]], [[-0.05261948880641065]], [[0.37223404352371814]], [[0.5439492474150096]], [[-0.13464936167223307]], [[-0.3128323273480935]], [[-0.553746507285708]], [[0.5597353013817967]]]]
[[[[-0.8757317891494989]], [[0.641925132606562]], [[-0.797217912179341]], [[-0.14273650156984607]], [[0.09992538372172244]], [[-0.3489946066671352]], [[0.9302351496978996]], [[0.17134894300240466]], [[-0.8817146932752737]], [[-0.7683383120927392]]]]
[[[[0.015190830679802314]], [[-0.3249363824040665]], [[-0.5046553184855427]], [[0.8914262602550114]], [[0.020775303721619398]], [[0.6440025554005915]], [[-0.07411557297551852]], [[-0.6355476431629241]], [[-0.08209375914673744]], [[0.4367914261107231]]]]
[[[[-0.620265646213068]], [[-0.8085642177340366]], [[0.974771694200437]], [[-0.8468548536823008]], [[-0.2852377773059185]], [[0.8737716630364438]], [[-0.41694495757939865]], [[-0.4740343270465892]], [[-0.676134942064746]], [[-0.9340029137398995]]]]
