[[[[0.8770073595139753]], [[-0.048482419819973144]], [[0.5493245505808702]], [[0.15809414908523167]], [[0.5624845101376097]], [[-0.5979211170783232]], [[-0.7372401118921499]], [[-0.2531707462161652]], [[-0.7775866452822173]], [[0.4353189829087356]]]]
[[[[-0.2708354539898188]], [[0.6748111404795394]], [[0.5915917883666415]], [[-0.45357210633746914]], [[-0.00213780425976684]], [[0.9492446551588758]], [[-0.6569931125772521]], [[-0.11748167162421996]], [[0.035331495710304806]], [[0.11750198470623063]]]]
[[[[0.18819625029748654]], [[0.9085054827878254]], [[-0.376433877285679]], [[0.8572510822631358]], [[0.7447734657821528]], [[-0.1818636578287971]], [[-0.2721038207234152]], [[-0.9399514540821514]], [[-0.4058048471174096]], [[-0.6678314700101566]]]]
[[[[-0.9214396845065158]], [[0.3245755761055191]], [[0.23797748085667014]], [[0.23212429251608602]], [[0.9984302135695009]], [[0.7476032399530013]], [[-0.16177136682309667]], [[0.7612198670580479]], [[-0.33237440459350465]], [[-0.8529725104077646]]]]
[[[[0.24439160931648285]], [[-0.7006144533920036]], [[0.5646183037729002]], [[-0.6149022641054964]], [[-0.2958244653029243]], [[0.017674325350301556]], [[0.7531427431629694]], [[0.653915522758322]], [[0.39200416643240543]], [[0.0902044031747864]]]]
[[[[0.6268549481731123]], [[0.8012113219889998]], [[-0.44430157679196847]], [[0.6795257197859452]], [[-0.7923575763620194]], [[0.018580687526710715]], [[0.11703854936494484]], [[-0.02571686749904334]], [[-0.40958058332993663]], [[-0.2507874212272456]]]]
[[[[-0.5456092559369223]], [[0.39458595314173794]], [[-0.5091536913089589]], [[-0.7747296193544781]], [[-0.30135774254924863]], [[-0.9357491709173731]], [[0.25682901369821187]], [[-0.3862681213613117]], [[0.2759547739789363]], [[-0.831424281552753]]]]
[[[[0.8685736064542433]], [[-0.7805639883511646]], [[0.8736033436376016]], [[0.8967484104869079]], [[0.08392686021061158]], [[0.04744874780232489]], [[0.6222890058681099]], [[-0.4601924122621559]], [[-0.7383236351465332]], [[0.29356818239097526]]]]
[[[[-0.35009563182496817]], [[0.9623984747931971]], [[0.5367760871320755]], [[-0.17792449047505632]], [[-0.6451557693497909]], [[-0.30375361166236514]], [[0.6948328041606613]], [[0.8109629590517704]], [[0.1906649399446576]], [[-0.5685766692463368]]]]
[[[[-0.15750524058483029]], [[-0.9648101688800623]], [[-0.21049239066511838]], [[0.654251881408842]], [[-0.02736700194131525]], [[-0.9310980656305401]], [[0.37152386252842007]], [[-0.3030513938842716]], [[-0.5260714052154636]], [[0.6198838214737807]]]]
[[[[-0.13360243200259392]], [[0.22706925413453227]], [[0.7952393564108535]], [[0.08279867869036317]], [[-0.6290879117897907]], [[-0.6161464354610959]], [[0.4167660293105824]], [[-0.4059844525259002]], [[-0.5547280908379111]], [[-0.20073692992458292]]]]
